antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Antecedent,Consequent
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.02526059293353188,0.028590767564640584,0.02011642073913632,0.7963558413719186,27.85360132677255,1.0,0.01939420099802871,4.770130599274688,0.9890828182642464,0.5963081861958267,0.7903621338686088,0.7499771631102017,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER 
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.028590767564640584,0.02526059293353188,0.02011642073913632,0.7035984848484849,27.85360132677255,1.0,0.01939420099802871,3.2885776800708957,0.9924735812912678,0.5963081861958267,0.695917172320393,0.7499771631102017,ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER
frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),0.049221605523216465,0.03170434547177474,0.022119940435900907,0.4493949394939494,14.174553450221195,1.0,0.020559401649717438,1.7586028970352783,0.9775685330126892,0.3761510128913444,0.43136679594589583,0.573544608944242,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX
frozenset({'SWEETHEART CERAMIC TRINKET BOX'}),frozenset({'STRAWBERRY CERAMIC TRINKET BOX'}),0.03170434547177474,0.049221605523216465,0.022119940435900907,0.6976942783945346,14.174553450221195,1.0,0.020559401649717438,3.145088982859643,0.9598835190081257,0.3761510128913444,0.682043972221492,0.573544608944242,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.04488967104372547,0.04800324895085962,0.026885068363341005,0.5989143546441495,12.476537895533934,1.0,0.024730218308906857,2.3735497943450747,0.9630819940621855,0.40730106644790814,0.5786901111649413,0.5794910182696213,WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE 
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.04800324895085962,0.04488967104372547,0.026885068363341005,0.560067681895093,12.476537895533932,1.0,0.024730218308906857,2.1710392477429163,0.9662318271011808,0.40730106644790814,0.5393910998893121,0.5794910182696213,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.04020576688777582,0.049573575199675105,0.021280628130499527,0.5292929292929294,10.676916626670861,1.0,0.019287484522227765,2.0191462672796607,0.9443065709148462,0.3106719367588933,0.5047411788808781,0.4792832751325379,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.049573575199675105,0.04020576688777582,0.021280628130499527,0.4292736209721464,10.67691662667086,1.0,0.019287484522227765,1.681706450553572,0.9536140593360101,0.3106719367588933,0.40536590100440695,0.4792832751325379,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04719101123595506,0.04816569649384053,0.023527819141735483,0.4985656913367757,10.351053293717712,1.0,0.021254831217307053,1.8982233306764718,0.9481349197733242,0.32755371277798717,0.47319159772226105,0.49352118181228893,HEART OF WICKER LARGE,HEART OF WICKER SMALL
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.04816569649384053,0.04719101123595506,0.023527819141735483,0.48847667228780217,10.351053293717712,1.0,0.021254831217307053,1.8626892208914685,0.949105816835329,0.32755371277798717,0.4631417904907358,0.49352118181228893,HEART OF WICKER SMALL,HEART OF WICKER LARGE
